gameTitle,platform,Publisher,developer,ReleaseDate
TERA,PC,Unknown,En Masse,01/01/1970
Danganronpa: Trigger Happy Havoc,PSP,Unknown,Spike,01/01/1970
Valkyria Chronicles III: Unrecorded Chronicles,PSP,Unknown,Sega WOW Overworks,01/01/1970
WRC: FIA World Rally Championship,PC,Unknown,Milestone S.r.l,01/01/1970
Defenders of Ardania,PC,Paradox Interactive,Most Wanted Entertainment,01/01/1970
PDC World Championship Darts 2008,PC,Unknown,Mere Mortals,01/01/1970
Deep Black,PC,505 Games,BiArt Studios,01/01/1970
Hidden Expedition: The Uncharted Islands,PC,Unknown,Activision,01/01/1970
Combat,2600,Atari,Atari,01/01/1977
Indy 500,2600,Atari,Atari,01/10/1977
Circus Atari,2600,Atari,Atari,01/01/1978
Maze Craze: A Game of Cops 'n Robbers,2600,Atari,Atari,01/01/1978
Super Breakout,2600,Atari,Atari,01/01/1978
Hangman,2600,Atari,Atari,01/01/1978
Home Run,2600,Atari,Atari,01/01/1978
Karate,2600,Unknown,Ultravision,01/01/1980
Boxing,2600,Activision,Activision,17/06/1980
Asteroids,2600,Atari,Atari,01/01/1981
Kaboom!,2600,Activision,Activision,01/01/1981
Defender,2600,Atari,Atari,01/01/1981
Ice Hockey,2600,Activision,Activision,01/01/1981
Laser Blast,2600,Activision,Activision,01/03/1981
E.T.: The Extra Terrestrial,2600,Atari,Atari,01/01/1982
Ms. Pac-Man,2600,Atari,General Entertainment,01/01/1982
Donkey Kong,2600,Coleco,Nintendo,01/01/1982
Centipede,2600,Atari,Atari,01/01/1982
Atlantis,2600,Imagic,Imagic,01/01/1982
Cosmic Ark,2600,Imagic,Imagic,01/01/1982
Spider-Man,2600,Parker Bros.,Parker Bros.,01/01/1982
Custer's Revenge,2600,Mystique,Mystique,01/01/1982
Air Raid,2600,Men-A-Vision,Men-A-Vision,01/01/1982
Grand Prix,2600,Activision,Activision,01/01/1982
Phoenix,2600,Atari,Centuri,01/01/1982
Barnstorming,2600,Activision,Activision,01/01/1982
Mouse Trap,2600,Coleco,Coleco,01/01/1982
Airlock,2600,Data Age,Data Age,01/01/1982
Dragonfire,2600,Imagic,Imagic,01/01/1982
Frogs And Flies,2600,Mattel Interactive,Mattel,01/01/1982
Fireball,2600,Unknown,Starpath Corp.,01/01/1982
RealSports Football,2600,Atari,Atari,01/01/1982
Deadly Duck,2600,20th Century Fox Video Games,20th Century Fox Video Games,01/01/1982
Reactor,2600,Parker Bros.,Parker Bros.,01/01/1982
International Soccer,2600,Mattel Interactive,Mattel,01/01/1982
Armor Ambush,2600,Mattel Interactive,Mattel,01/01/1982
RealSports Volleyball,2600,Atari,Atari,01/01/1982
Chopper Command,2600,Activision,Activision,15/06/1982
Dig Dug,2600,Atari,Atari,01/01/1983
Pole Position,2600,Atari,Atari,01/01/1983
Moon Patrol,2600,Atari,Atari,01/01/1983
Donkey Kong Junior,2600,Coleco,Nintendo,01/01/1983
Enduro,2600,Activision,Activision,01/01/1983
Galaxian,2600,Atari,Atari,01/01/1983
Kangaroo,2600,Atari,Atari,01/01/1983
X-Man,2600,Unknown,Universal Gamex,01/01/1983
Battlezone,2600,Atari,Atari,01/01/1983
Halloween,2600,Unknown,Wizard Video Games,01/01/1983
Popeye,2600,Parker Bros.,Parker Bros.,01/01/1983
Congo Bongo,2600,Sega,Sega,01/01/1983
Gravitar,2600,Atari,Atari,01/01/1983
Frankenstein's Monster,2600,Data Age,Data Age,01/01/1983
Mountain King,2600,CBS Electronics,CBS Electronics,01/01/1983
Polaris,2600,Tigervision,Taito,01/01/1983
Mr. Do!,2600,Coleco,Coleco,01/01/1983
Assault,2600,Bomb,Bomb,01/01/1983
Death Trap,2600,Avalon Interactive,Avalon Hill,01/01/1983
Pressure Cooker,2600,Activision,Activision,01/01/1983
Krull,2600,Atari,Atari,01/01/1983
Pitfall II: Lost Caverns,2600,Activision,Activision,16/09/1983
Jr. Pac-Man,2600,Atari,General Entertainment,01/01/1984
Crystal Castles,2600,Atari,Atari,01/01/1984
Midnight Magic,2600,Atari,Atari,01/01/1984
Pengo,2600,Atari,Atari,01/01/1984
Frogger II: Threeedeep!,2600,Parker Bros.,Parker Bros,01/01/1984
Mr. Do!'s Castle,2600,Parker Bros.,Parker Bros,01/01/1984
Beamrider,2600,Activision,Activision,24/01/1984
Ghostbusters,2600,Activision,Atari,10/05/1985
Wrecking Crew,NES,Nintendo,Nintendo,01/10/1985
Clu Clu Land,NES,Nintendo,Nintendo R&D1,18/10/1985
Nazo no Murasame-Jou (FDS),NES,Nintendo,Nintendo EAD,14/04/1986
Solaris,2600,Atari,Atari,13/07/1986
Tag Team Match M.U.S.C.L.E.,NES,Bandai,Bandai,01/10/1986
1942,NES,Capcom,Capcom,01/11/1986
Gradius,NES,Konami,Konami,01/12/1986
Doraemon,NES,Hudson Soft,Hudson Soft,12/12/1986
Castlevania,NES,Konami,Konami,01/05/1987
Kung-Fu Master,2600,Activision,Activision,12/05/1987
Mega Man,NES,Capcom,Capcom,01/12/1987
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,Bandai,Bandai,22/12/1987
R.B.I. Baseball,NES,Tengen,Namco,01/01/1988
Defender II,2600,Atari,"Williams Electronic Games, Inc.",01/01/1988
Super Football,2600,Atari,Atari,01/01/1988
River Raid II,2600,Activision,Activision,28/07/1988
Dragon Ball: Daimaou Fukkatsu,NES,Bandai,TOSE,12/08/1988
Adventure Island,NES,Hudson Soft,Hudson Soft / West One,01/09/1988
Castlevania II: Simon's Quest,NES,Konami,Konami,01/11/1988
Final Fantasy II,NES,Square,Square,17/12/1988
Teenage Mutant Ninja Turtles,NES,Ultra Games,Konami,01/06/1989
Double Dragon,2600,Activision,Activision,23/07/1989
KLAX,2600,Atari,Atari,01/01/1990
Castlevania III: Dracula's Curse,NES,Konami,Konami,01/10/1990
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,Ultra Games,Konami,01/12/1990
Famista '91,NES,Namco,Namco,21/12/1990
R.B.I. Baseball 3,NES,Tengen,Namco,01/01/1991
Extra Bases,GB,Bandai,Namco,01/04/1991
GameBoy Wars,GB,Nintendo,Intelligent Systems,21/05/1991
Battle Dodge Ball,SNES,Banpresto,Banpresto,20/07/1991
Final Fantasy Adventure,GB,Square,Square,01/11/1991
Super Castlevania IV,SNES,Konami,Konami,01/12/1991
Super Baseball Simulator 1.000,SNES,Culture Brain,Culture Brain,01/12/1991
Tetris 2 + Bombliss,NES,BPS,ChunSoft,13/12/1991
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,SNES,Angel Studios,Unknown,21/12/1991
Battle Commander: Hachibushu Shura no Heihou,SNES,Banpresto,Banpresto,29/12/1991
Mega Man 4,NES,Capcom,Capcom,01/01/1992
Bomberman II,NES,Hudson Soft,Hudson Soft,01/01/1992
Dragon Ball Z: Chou Saiya Densetsu,SNES,Bandai,TOSE,25/01/1992
Dragon Slayer: Eiyuu Densetsu,SNES,Epoch,Nihon Falcom Corporation,14/02/1992
Dragon Slayer: The Legend of Heroes,SNES,Epoch,Nihon Falcom Corporation,14/02/1992
F1 ROC: Race of Champions,SNES,Seta Corporation,Seta Corporation,01/03/1992
Otogirisou,SNES,ChunSoft,ChunSoft,07/03/1992
World League Soccer,SNES,Mindscape,Anco,01/04/1992
Contra III: The Alien Wars,SNES,Konami,Konami,01/04/1992
Super Soccer,SNES,Nintendo,Human Entertainment,01/05/1992
Romance of the Three Kingdoms II,SNES,KOEI,Koei,01/05/1992
Super Batter Up,SNES,Namco,Namco,01/10/1992
Battle Soccer: Field no Hasha,SNES,Banpresto,Banpresto,11/12/1992
Super Bomberman,SNES,Hudson Soft,Produce!,01/01/1993
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,KOEI,Koei,01/01/1993
Mega Man IV,GB,Capcom,Capcom,01/01/1993
Empire Deluxe,PC,New World Computing,White Wolf Productions,01/01/1993
SimFarm,PC,Maxis,Maxis Software,01/01/1993
Sam & Max Hit the Road,PC,LucasArts,LucasArts,01/01/1993
SimEarth: The Living Planet,SNES,FCI,Tomcat System,01/02/1993
Jurassic Park,NES,Ocean,Ocean,01/06/1993
Ecco the Dolphin,GEN,Sega,Novotrade International,29/07/1993
Crayon Shin-Chan: Arashi o Yobu Enji,SNES,Bandai,Bandai,30/07/1993
J-League Soccer: Prime Goal,SNES,Namco,Namco,06/08/1993
Super Power League,SNES,Hudson Soft,Hudson Soft,06/08/1993
Gunstar Heroes,GEN,Sega,"Treasure Co., Ltd.",09/09/1993
Torneko no Daibouken: Fushigi no Dungeon,SNES,ChunSoft,ChunSoft,19/09/1993
Harukanaru Augusta 2: Masters,SNES,T&E Soft,Tikipod,19/09/1993
Street Fighter II': Special Champion Edition (JP weekly sales),GEN,Capcom,Unknown,27/09/1993
Classic Road,SNES,Victor Interactive,Opera House,29/10/1993
Pac-Man,NES,Namco,Namco,01/11/1993
Jissen Pachi-Slot Hisshouhou,SNES,Sammy Corporation,Sammy Corporation,26/11/1993
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,Imax,I'Max,02/12/1993
Nobunaga no Yabou: Haouden,SNES,KOEI,Koei,09/12/1993
Doom    Read the review,PC,id Software,id Software,10/12/1993
Doraemon 2: Nobita no Toizurando Daibouken,SNES,Epoch,SAS Sakata,17/12/1993
Pachinko Wars II,SNES,Coconuts Japan,Coconuts Japan,17/12/1993
Yuu Yuu Hakusho,SNES,Namco,Namco,22/12/1993
Shin Momotarou Densetsu,SNES,Hudson Soft,Hudson Soft,24/12/1993
Mortal Kombat II (US & Others sales),GEN,Acclaim Entertainment,Probe Entertainment Limited,01/01/1994
Mortal Kombat II,SNES,Acclaim Entertainment,Sculptured Software,01/01/1994
Dragon Ball Z: Ultime Menace,SNES,Bandai,TOSE,01/01/1994
Mega Man X2,SNES,Capcom,Capcom,01/01/1994
Sailor Moon,SNES,Bandai,Angel Studios,01/01/1994
Super Street Fighter II,GEN,Capcom,Capcom,01/01/1994
Ninja Warriors,SNES,Taito,Natsume,01/01/1994
