rank, imageUrl, gameLink, gameTitle, platform,Publisher, developer, VGChartzScore, CriticScore,UserScore, TotalShipped, TotalSales, NASales,PALSales, JapanSales, OtherSales, ReleaseDate, LastUpdate

1,/games/boxart/full_2881264AmericaFrontccc.jpg,https://www.vgchartz.com/game/226237/tetris/?region=All,Tetris    ,Series,The Tetris Company  ,Alexey Pajitnov  ,N/A  ,N/A  ,N/A  ,520.00m,N/A,N/A,N/A,N/A,N/A,01st Jan 88  ,27th Feb 20
2,/games/boxart/full_4261443AmericaFrontccc.jpg,https://www.vgchartz.com/game/226034/pokemon/?region=All,Pokemon    ,Series,Nintendo  ,Game Freak  ,N/A  ,N/A  ,N/A  ,481.46m,N/A,N/A,N/A,N/A,N/A,28th Sep 98  ,03rd Feb 20
3,/games/boxart/full_9594883AmericaFrontccc.png,https://www.vgchartz.com/game/226036/call-of-duty/?region=All,Call of Duty    ,Series,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,425.00m,N/A,N/A,N/A,N/A,N/A,29th Oct 03  ,03rd Feb 20
4,/games/boxart/full_7292379AmericaFrontccc.jpg,https://www.vgchartz.com/game/226037/grand-theft-auto/?region=All,Grand Theft Auto    ,Series,Rockstar Games  ,Rockstar North  ,N/A  ,N/A  ,N/A  ,410.00m,N/A,N/A,N/A,N/A,N/A,27th Mar 98  ,03rd Feb 20
5,/games/boxart/full_4441628AmericaFrontccc.jpg,https://www.vgchartz.com/game/226187/super-mario/?region=All,Super Mario    ,Series,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,408.92m,N/A,N/A,N/A,N/A,N/A,20th Jul 83  ,20th Feb 20
6,/games/boxart/full_4446063AmericaFrontccc.jpg,https://www.vgchartz.com/game/226038/fifa/?region=All,FIFA    ,Series,EA Sports  ,Extended Play Productions (1991-1997)  ,N/A  ,N/A  ,N/A  ,325.00m,N/A,N/A,N/A,N/A,N/A,15th Dec 93  ,03rd Feb 20
7,/games/boxart/full_5967679AmericaFrontccc.jpg,https://www.vgchartz.com/game/226085/minecraft/?region=All,Minecraft    ,Series,Mojang  ,Mojang  ,N/A  ,N/A  ,N/A  ,300.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Feb 20
8,/games/boxart/full_3450397AmericaFrontccc.png,https://www.vgchartz.com/game/227428/minecraft/?region=All,Minecraft    ,All,Mojang  ,Mojang AB  ,N/A  ,N/A  ,N/A  ,300.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 11  ,08th Oct 20
9,/games/boxart/full_6011385AmericaFrontccc.jpg,https://www.vgchartz.com/game/226259/lego/?region=All,Lego    ,Series,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,203.22m,N/A,N/A,N/A,N/A,N/A,26th Sep 97  ,01st Mar 20
